item 1: ( weight 2, values 7)
item 2: ( weight 3, values 7)
item 3: ( weight 5, values 3)
item 4: ( weight 3, values 6)
item 5: ( weight 2, values 8)
item 6: ( weight 5, values 5)
item 7: ( weight 1, values 6)
item 8: ( weight 5, values 5)
item 9: ( weight 1, values 5)
item 10: ( weight 1, values 2)
item 11: ( weight 3, values 7)
item 12: ( weight 5, values 4)
item 13: ( weight 2, values 10)
item 14: ( weight 1, values 2)
item 15: ( weight 3, values 8)
item 16: ( weight 5, values 3)
item 17: ( weight 1, values 9)
item 18: ( weight 3, values 7)
item 19: ( weight 4, values 4)
item 20: ( weight 2, values 6)
item 21: ( weight 5, values 3)
item 22: ( weight 4, values 5)
item 23: ( weight 1, values 10)
item 24: ( weight 2, values 7)
item 25: ( weight 3, values 10)
item 26: ( weight 2, values 2)
item 27: ( weight 5, values 8)
item 28: ( weight 4, values 4)
item 29: ( weight 3, values 5)
item 30: ( weight 3, values 2)
item 31: ( weight 2, values 7)
item 32: ( weight 3, values 7)
item 33: ( weight 3, values 4)
item 34: ( weight 3, values 9)
item 35: ( weight 1, values 7)
item 36: ( weight 4, values 6)
item 37: ( weight 4, values 8)
item 38: ( weight 3, values 3)
item 39: ( weight 5, values 6)
item 40: ( weight 2, values 10)
item 41: ( weight 5, values 10)
item 42: ( weight 3, values 6)
item 43: ( weight 4, values 5)
item 44: ( weight 2, values 4)
item 45: ( weight 1, values 6)
item 46: ( weight 5, values 8)
item 47: ( weight 5, values 3)
item 48: ( weight 1, values 10)
item 49: ( weight 4, values 7)
item 50: ( weight 1, values 10)
item 51: ( weight 2, values 5)
item 52: ( weight 4, values 2)
item 53: ( weight 2, values 4)
item 54: ( weight 5, values 10)
item 55: ( weight 5, values 9)
item 56: ( weight 2, values 8)
item 57: ( weight 4, values 2)
item 58: ( weight 5, values 6)
item 59: ( weight 4, values 4)
item 60: ( weight 5, values 4)
item 61: ( weight 2, values 9)
item 62: ( weight 4, values 4)
item 63: ( weight 4, values 2)
item 64: ( weight 1, values 3)
item 65: ( weight 4, values 8)
item 66: ( weight 5, values 9)
item 67: ( weight 5, values 7)
item 68: ( weight 4, values 3)
item 69: ( weight 5, values 8)
item 70: ( weight 3, values 7)
item 71: ( weight 3, values 8)
item 72: ( weight 3, values 3)
item 73: ( weight 2, values 2)
item 74: ( weight 3, values 5)
item 75: ( weight 1, values 4)
item 76: ( weight 1, values 3)
item 77: ( weight 1, values 4)
item 78: ( weight 5, values 10)
item 79: ( weight 5, values 3)
item 80: ( weight 3, values 3)
item 81: ( weight 3, values 6)
item 82: ( weight 1, values 5)
item 83: ( weight 1, values 8)
item 84: ( weight 4, values 4)
item 85: ( weight 4, values 2)
item 86: ( weight 5, values 4)
item 87: ( weight 2, values 8)
item 88: ( weight 2, values 3)
item 89: ( weight 5, values 3)
item 90: ( weight 5, values 8)
item 91: ( weight 1, values 8)
item 92: ( weight 1, values 3)
item 93: ( weight 2, values 10)
item 94: ( weight 5, values 3)
item 95: ( weight 5, values 10)
item 96: ( weight 4, values 4)
item 97: ( weight 1, values 7)
item 98: ( weight 3, values 3)
item 99: ( weight 4, values 6)
item 100: ( weight 2, values 9)
---------------------------------
item 2: ( weight 3, values 7)
item 3: ( weight 5, values 3)
item 9: ( weight 1, values 5)
item 10: ( weight 1, values 2)
item 13: ( weight 2, values 10)
item 23: ( weight 1, values 10)
item 24: ( weight 2, values 7)
item 25: ( weight 3, values 10)
item 26: ( weight 2, values 2)
item 28: ( weight 4, values 4)
item 33: ( weight 3, values 4)
item 35: ( weight 1, values 7)
item 37: ( weight 4, values 8)
item 39: ( weight 5, values 6)
item 40: ( weight 2, values 10)
item 41: ( weight 5, values 10)
item 42: ( weight 3, values 6)
item 45: ( weight 1, values 6)
item 46: ( weight 5, values 8)
item 48: ( weight 1, values 10)
item 50: ( weight 1, values 10)
item 51: ( weight 2, values 5)
item 55: ( weight 5, values 9)
item 60: ( weight 5, values 4)
item 61: ( weight 2, values 9)
item 65: ( weight 4, values 8)
item 66: ( weight 5, values 9)
item 67: ( weight 5, values 7)
item 71: ( weight 3, values 8)
item 75: ( weight 1, values 4)
item 77: ( weight 1, values 4)
item 78: ( weight 5, values 10)
item 79: ( weight 5, values 3)
item 80: ( weight 3, values 3)
item 82: ( weight 1, values 5)
item 83: ( weight 1, values 8)
item 84: ( weight 4, values 4)
item 86: ( weight 5, values 4)
item 87: ( weight 2, values 8)
item 88: ( weight 2, values 3)
item 91: ( weight 1, values 8)
item 93: ( weight 2, values 10)
item 95: ( weight 5, values 10)
item 96: ( weight 4, values 4)
item 98: ( weight 3, values 3)
item 99: ( weight 4, values 6)
item 100: ( weight 2, values 9)
---------------------------------
(20, 29)
(40, 34)
(60, 40)
(80, 59)
(100, 73)
(120, 73)
(140, 89)
(160, 89)
(180, 91)
(200, 93)
(220, 93)
(240, 93)
(260, 97)
(280, 103)
(300, 113)
(320, 113)
(340, 127)
(360, 127)
(380, 127)
(400, 134)
(420, 134)
(440, 140)
(460, 150)
(480, 150)
(500, 163)
(520, 169)
(540, 204)
(560, 204)
(580, 204)
(600, 204)
(620, 219)
(640, 226)
(660, 226)
(680, 233)
(700, 233)
(720, 233)
(740, 244)
(760, 265)
(780, 269)
(800, 269)
(820, 269)
(840, 290)
(860, 294)
(880, 294)
(900, 298)
(920, 306)
(940, 306)
(960, 306)
(980, 306)
(1000, 310)
