 Ó‰,ÔªøProductKey,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,SalesOrderNumber,SalesAmount
1,381,20190101,20190113,20190108,16942,SO46700,1000.4375
2,375,20190101,20190113,20190108,15114,SO46701,2181.5625
3,369,20190101,20190113,20190108,15116,SO46702,2443.35
4,337,20190101,20190113,20190108,20576,SO46703,782.99
5,370,20190101,20190113,20190108,13059,SO46704,2443.35
6,370,20190101,20190113,20190108,13085,SO46705,2443.35
7,352,20190101,20190113,20190108,20186,SO46706,2071.4196
8,337,20190101,20190113,20190108,15199,SO46707,782.99
9,377,20190101,20190113,20190108,21200,SO46708,2181.5625
10,387,20190102,20190114,20190109,19172,SO46709,1000.4375
11,356,20190102,20190114,20190109,11484,SO46710,2071.4196
12,369,20190102,20190114,20190109,13592,SO46711,2443.35
13,373,20190102,20190114,20190109,13779,SO46712,2181.5625
14,371,20190102,20190114,20190109,24778,SO46713,2181.5625
15,368,20190102,20190114,20190109,13093,SO46714,2443.35
16,375,20190102,20190114,20190109,24976,SO46715,2181.5625
17,375,20190102,20190114,20190109,25046,SO46716,2181.5625
18,368,20190102,20190114,20190109,25048,SO46717,2443.35
19,360,20190102,20190114,20190109,12570,SO46718,2049.0982
20,362,20190103,20190115,20190110,11604,SO46719,2049.0982
21,371,20190103,20190115,20190110,13667,SO46720,2181.5625
22,370,20190103,20190115,20190110,16046,SO46721,2443.35
23,385,20190103,20190115,20190110,17095,SO46722,1000.4375
24,368,20190103,20190115,20190110,12918,SO46723,2443.35
25,368,20190103,20190115,20190110,28663,SO46724,2443.35
26,369,20190103,20190115,20190110,21191,SO46725,2443.35
27,373,20190103,20190115,20190110,20999,SO46726,2181.5625
28,370,20190103,20190115,20190110,21002,SO46727,2443.35
29,358,20190103,20190115,20190110,12354,SO46728,2049.0982
30,321,20190103,20190115,20190110,26019,SO46729,782.99
31,379,20190104,20190116,20190111,15100,SO46730,2181.5625
32,371,20190104,20190116,20190111,15101,SO46731,2181.5625
